sample,domain,level,metric,estimate,se,ci_low,ci_high,unweighted_n,weighted_n
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Asian,Weekday minus weekend MIMS-units,1194.5078939917703,216.9494769308007,769.2869192074008,1619.7288687761397,373,1818800.2070605
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Asian,Percent difference from weekday,6.46021018742286,1.3988103956599345,3.7185418119293887,9.201878562916331,373,1818800.2070605
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Black,Weekday MIMS-units,17630.226268985814,179.40448272767733,17278.593482839566,17981.859055132063,956,5515308.79251
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Black,Weekend-day MIMS-units,16687.855284398735,191.46592072787237,16312.582079772104,17063.128489025363,956,5515308.79251
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Black,Weekday minus weekend MIMS-units,942.3709845870807,137.49750994536657,672.8758650941622,1211.866104079999,956,5515308.79251
Children/adolescents 6-19,race_ethnicity,Non-Hispanic Black,Percent difference from weekday,4.454408674834783,0.798233170885736,2.8898716598987404,6.018945689770825,956,5515308.79251
Children/adolescents 6-19,race_ethnicity,Other/multiracial,Weekday MIMS-units,17010.819709307387,348.1238436252016,16328.496975801992,17693.142442812783,201,1684951.7221775
Children/adolescents 6-19,race_ethnicity,Other/multiracial,Weekend-day MIMS-units,15857.468778070397,340.51943516514945,15190.050685146703,16524.88687099409,201,1684951.7221775
Children/adolescents 6-19,race_ethnicity,Other/multiracial,Weekday minus weekend MIMS-units,1153.3509312369924,331.0635208973555,504.4664302781757,1802.2354321958092,201,1684951.7221775
Children/adolescents 6-19,race_ethnicity,Other/multiracial,Percent difference from weekday,5.1058396489900835,2.52648478363452,0.1539294730664249,10.057749824913742,201,1684951.7221775
Children/adolescents 6-19,race_ethnicity,Mexican American,Weekday MIMS-units,17856.109562379697,262.39941385827314,17341.806711217483,18370.41241354191,784,6430190.7573785
Children/adolescents 6-19,race_ethnicity,Mexican American,Weekend-day MIMS-units,17004.852307631594,266.2072131583715,16483.086169841186,17526.618445422002,784,6430190.7573785
Children/adolescents 6-19,race_ethnicity,Mexican American,Weekday minus weekend MIMS-units,851.2572547481011,133.64230896153322,589.318329183496,1113.1961803127062,784,6430190.7573785
Children/adolescents 6-19,race_ethnicity,Mexican American,Percent difference from weekday,4.2819700330812625,0.7107500442436074,2.888899946363792,5.675040119798733,784,6430190.7573785
Children/adolescents 6-19,race_ethnicity,Other Hispanic,Weekday MIMS-units,17756.60904805333,248.82453437115115,17268.912960685873,18244.30513542079,365,2835926.155843
Children/adolescents 6-19,race_ethnicity,Other Hispanic,Weekend-day MIMS-units,16690.21570382269,253.48381309556396,16193.387430155386,17187.043977489997,365,2835926.155843
Children/adolescents 6-19,race_ethnicity,Other Hispanic,Weekday minus weekend MIMS-units,1066.3933442306386,162.8131172098293,747.2796344993732,1385.5070539619041,365,2835926.155843
Children/adolescents 6-19,race_ethnicity,Other Hispanic,Percent difference from weekday,5.182443845145987,0.9270412537744369,3.3654429877480907,6.999444702543883,365,2835926.155843
Adults 20+,race_ethnicity,Non-Hispanic White,Weekday MIMS-units,13396.073572171437,76.37976849988603,13246.369225911661,13545.777918431213,2687,96544481.1335705
Adults 20+,race_ethnicity,Non-Hispanic White,Weekend-day MIMS-units,12925.601123892182,94.88124933174852,12739.633875201955,13111.56837258241,2687,96544481.1335705
Adults 20+,race_ethnicity,Non-Hispanic White,Weekday minus weekend MIMS-units,470.472448279253,78.1542224847412,317.29017220916023,623.6547243493458,2687,96544481.1335705
Adults 20+,race_ethnicity,Non-Hispanic White,Percent difference from weekday,1.8698084769797025,0.5766852868971984,0.7395053146611936,3.0001116392982112,2687,96544481.1335705
Adults 20+,race_ethnicity,Non-Hispanic Asian,Weekday MIMS-units,13992.481364938787,186.63866174498335,13626.669587918619,14358.293141958955,803,6834749.1396274995
Adults 20+,race_ethnicity,Non-Hispanic Asian,Weekend-day MIMS-units,13702.630911084741,149.37511161131874,13409.855692326557,13995.406129842926,803,6834749.1396274995
Adults 20+,race_ethnicity,Non-Hispanic Asian,Weekday minus weekend MIMS-units,289.85045385404914,113.83532508389949,66.73321668960614,512.9676910184921,803,6834749.1396274995
Adults 20+,race_ethnicity,Non-Hispanic Asian,Percent difference from weekday,1.0388733506198458,0.8092830810189086,-0.547321488177215,2.625068189416907,803,6834749.1396274995
Adults 20+,race_ethnicity,Non-Hispanic Black,Weekday MIMS-units,14101.61221664175,132.9679914031654,13840.994953491545,14362.229479791955,1493,14965649.794398502
Adults 20+,race_ethnicity,Non-Hispanic Black,Weekend-day MIMS-units,13404.23776565477,118.82733455069673,13171.336189935406,13637.139341374135,1493,14965649.794398502
Adults 20+,race_ethnicity,Non-Hispanic Black,Weekday minus weekend MIMS-units,697.3744509869769,108.021536305596,485.6522398280087,909.096662145945,1493,14965649.794398502
Adults 20+,race_ethnicity,Non-Hispanic Black,Percent difference from weekday,3.244844194994605,0.7014902802068644,1.8699232457891506,4.619765144200059,1493,14965649.794398502
Adults 20+,race_ethnicity,Other/multiracial,Weekday MIMS-units,13799.089764692066,310.78267866799024,13189.955714502805,14408.223814881327,182,3618007.101495
Adults 20+,race_ethnicity,Other/multiracial,Weekend-day MIMS-units,13162.18554022866,360.43815978410936,12455.726747051805,13868.644333405515,182,3618007.101495
Adults 20+,race_ethnicity,Other/multiracial,Weekday minus weekend MIMS-units,636.9042244634054,223.07890426382357,199.6695721063112,1074.1388768204997,182,3618007.101495
Adults 20+,race_ethnicity,Other/multiracial,Percent difference from weekday,3.750743977399698,1.456548638930246,0.8959086450964158,6.60557930970298,182,3618007.101495
Adults 20+,race_ethnicity,Mexican American,Weekday MIMS-units,16369.91181714924,153.63630665847134,16068.784656098635,16671.038978199842,798,12038915.1727865
Adults 20+,race_ethnicity,Mexican American,Weekend-day MIMS-units,14315.385306604443,120.52193767204606,14079.162308767232,14551.608304441654,798,12038915.1727865
Adults 20+,race_ethnicity,Mexican American,Weekday minus weekend MIMS-units,2054.5265105447934,148.95180921227927,1762.580964488726,2346.472056600861,798,12038915.1727865
Adults 20+,race_ethnicity,Mexican American,Percent difference from weekday,10.30376699163888,0.8302420629419532,8.676492548272652,11.93104143500511,798,12038915.1727865
Adults 20+,race_ethnicity,Other Hispanic,Weekday MIMS-units,15606.545858770232,200.14191731218483,15214.26770083835,15998.824016702114,648,8592250.8419605
Adults 20+,race_ethnicity,Other Hispanic,Weekend-day MIMS-units,14637.547476890797,245.84668647158117,14155.687971406498,15119.406982375096,648,8592250.8419605
Adults 20+,race_ethnicity,Other Hispanic,Weekday minus weekend MIMS-units,968.9983818794344,124.42329544090303,725.1287228152645,1212.8680409436045,648,8592250.8419605
Adults 20+,race_ethnicity,Other Hispanic,Percent difference from weekday,4.583789470675173,0.8774133099440729,2.8640593831847903,6.303519558165556,648,8592250.8419605
Children/adolescents 6-19,income_poverty_category,1.30-3.49,Weekday MIMS-units,17337.168933142293,257.25718818414816,16832.944844301364,17841.393021983222,1083,13400384.76007
Children/adolescents 6-19,income_poverty_category,1.30-3.49,Weekend-day MIMS-units,16390.837398905856,275.456608497756,15850.942446250254,16930.73235156146,1083,13400384.76007
Children/adolescents 6-19,income_poverty_category,1.30-3.49,Weekday minus weekend MIMS-units,946.3315342364365,188.43894315109944,576.9912056602816,1315.6718628125914,1083,13400384.76007
Children/adolescents 6-19,income_poverty_category,1.30-3.49,Percent difference from weekday,4.408415497391041,1.0245150512812926,2.4003659968797075,6.4164649979023745,1083,13400384.76007
Children/adolescents 6-19,income_poverty_category,>=3.50,Weekday MIMS-units,17560.02801520339,223.71846652212244,17121.539820820028,17998.51620958675,644,9859744.946518999
Children/adolescents 6-19,income_poverty_category,>=3.50,Weekend-day MIMS-units,16728.310258530735,276.0891316720494,16187.175560453517,17269.444956607953,644,9859744.946518999
Children/adolescents 6-19,income_poverty_category,>=3.50,Weekday minus weekend MIMS-units,831.7177566726533,200.68801757003982,438.3692422353753,1225.0662711099312,644,9859744.946518999
Children/adolescents 6-19,income_poverty_category,>=3.50,Percent difference from weekday,3.9743847756608632,1.2203913384232365,1.5824177523513194,6.366351798970407,644,9859744.946518999
Children/adolescents 6-19,income_poverty_category,<1.30,Weekday MIMS-units,17846.791904687198,183.47552893774375,17487.17986796922,18206.403941405177,1564,13200950.115727
Children/adolescents 6-19,income_poverty_category,<1.30,Weekend-day MIMS-units,17074.166613827056,194.5884297541742,16692.773291508875,17455.559936145237,1564,13200950.115727
Children/adolescents 6-19,income_poverty_category,<1.30,Weekday minus weekend MIMS-units,772.6252908601354,127.28716577049076,523.1424459499735,1022.1081357702972,1564,13200950.115727
Children/adolescents 6-19,income_poverty_category,<1.30,Percent difference from weekday,3.7546140705040596,0.6947138185259515,2.3929749861931944,5.116253154814925,1564,13200950.115727
Adults 20+,income_poverty_category,1.30-3.49,Weekday MIMS-units,14020.99805654849,121.0330741199557,13783.773231273377,14258.222881823602,2172,47399335.121288
Adults 20+,income_poverty_category,1.30-3.49,Weekend-day MIMS-units,13087.286210441604,136.01263103913976,12820.70145360489,13353.870967278317,2172,47399335.121288
Adults 20+,income_poverty_category,1.30-3.49,Weekday minus weekend MIMS-units,933.7118461068866,89.27795808080793,758.727048268503,1108.6966439452701,2172,47399335.121288
Adults 20+,income_poverty_category,1.30-3.49,Percent difference from weekday,4.9032329948095335,0.7103087752337908,3.5110277953513034,6.2954381942677635,2172,47399335.121288
Adults 20+,income_poverty_category,>=3.50,Weekday MIMS-units,13409.277377449807,82.42754124983745,13247.719396600125,13570.83535829949,1972,57402185.292393
Adults 20+,income_poverty_category,>=3.50,Weekend-day MIMS-units,13146.508923257685,117.4917257842765,12916.225140720502,13376.792705794867,1972,57402185.292393
Adults 20+,income_poverty_category,>=3.50,Weekday minus weekend MIMS-units,262.7684541921246,106.16450768661772,54.68601912635384,470.85088925789535,1972,57402185.292393
Adults 20+,income_poverty_category,>=3.50,Percent difference from weekday,0.4274667943795845,0.7133831667662298,-0.970764212482226,1.825697801241395,1972,57402185.292393
Adults 20+,income_poverty_category,<1.30,Weekday MIMS-units,14462.655612560553,128.9601190570511,14209.893779208733,14715.417445912373,1985,29968777.7404055
Adults 20+,income_poverty_category,<1.30,Weekend-day MIMS-units,13578.51386319786,128.85041288225685,13325.967053948638,13831.060672447084,1985,29968777.7404055
Adults 20+,income_poverty_category,<1.30,Weekday minus weekend MIMS-units,884.1417493626903,110.19276891460933,668.163922290056,1100.1195764353247,1985,29968777.7404055
Adults 20+,income_poverty_category,<1.30,Percent difference from weekday,4.008446146685734,0.7274563565900619,2.5826316877692124,5.4342606056022555,1985,29968777.7404055
Adults 20+,education_adult,High school/GED,Weekday MIMS-units,14412.304898887236,159.66425796976444,14099.362953266498,14725.246844507974,1443,30076775.591605
Adults 20+,education_adult,High school/GED,Weekend-day MIMS-units,13364.452428726368,135.73355380159353,13098.414663275245,13630.490194177492,1443,30076775.591605
Adults 20+,education_adult,High school/GED,Weekday minus weekend MIMS-units,1047.8524701608644,125.27914742546237,802.3053412069581,1293.3995991147706,1443,30076775.591605
Adults 20+,education_adult,High school/GED,Percent difference from weekday,5.292835866937362,0.9782529233055076,3.375460137258567,7.210211596616157,1443,30076775.591605
Adults 20+,education_adult,Some college/AA,Weekday MIMS-units,13646.973166351348,116.05669668796352,13419.50204084294,13874.444291859758,2006,45144497.1625205
Adults 20+,education_adult,Some college/AA,Weekend-day MIMS-units,12969.968194433752,128.88565651428175,12717.35230766576,13222.584081201743,2006,45144497.1625205
Adults 20+,education_adult,Some college/AA,Weekday minus weekend MIMS-units,677.0049719175953,60.59538142796946,558.2380243187752,795.7719195164154,2006,45144497.1625205
Adults 20+,education_adult,Some college/AA,Percent difference from weekday,3.43718755182046,0.43754444445486157,2.5796004406889317,4.294774662951989,2006,45144497.1625205
Adults 20+,education_adult,College graduate or above,Weekday MIMS-units,13283.33142366502,90.87210946043369,13105.22208912257,13461.440758207471,1758,45718799.3841025
Adults 20+,education_adult,College graduate or above,Weekend-day MIMS-units,13199.033703440287,103.28405055968082,12996.596964343313,13401.470442537262,1758,45718799.3841025
